ID,TIED,PLACE,STATE,ID_MEDALLA,ID_OLIMPIADA,ID_EVENTO
385,False,1.0,COMPLETED,4,3,34
386,True,49.0,COMPLETED,1,14,4
387,True,3.0,COMPLETED,2,5,24
388,True,49.0,COMPLETED,1,6,4
389,True,33.0,COMPLETED,1,6,5
390,False,2.0,COMPLETED,3,5,24
391,True,49.0,COMPLETED,1,5,4
392,True,49.0,COMPLETED,1,3,4
393,True,25.0,COMPLETED,1,6,5
394,True,9.0,COMPLETED,1,3,2
395,True,9.0,COMPLETED,1,6,2
396,False,4.0,COMPLETED,1,7,2
397,True,5.0,COMPLETED,1,8,2
398,True,9.0,COMPLETED,1,16,2
399,True,25.0,COMPLETED,1,5,5
400,True,5.0,COMPLETED,1,4,2
401,True,5.0,COMPLETED,1,5,2
402,False,3.0,COMPLETED,2,3,1
403,True,5.0,COMPLETED,1,16,3
404,True,17.0,COMPLETED,1,17,2
405,False,81.0,COMPLETED,1,14,70
406,False,75.0,COMPLETED,1,14,70
407,False,25.0,COMPLETED,1,18,71
408,False,57.0,COMPLETED,1,3,71
409,False,41.0,COMPLETED,1,7,71
410,False,11.0,COMPLETED,1,7,72
411,False,9.0,COMPLETED,1,19,71
412,False,9.0,COMPLETED,1,20,71
413,False,19.0,COMPLETED,1,13,71
414,False,48.0,COMPLETED,1,3,71
415,False,15.0,COMPLETED,1,18,71
416,False,15.0,COMPLETED,1,20,71
417,False,13.0,COMPLETED,1,18,70
418,False,31.0,COMPLETED,1,13,70
419,False,41.0,COMPLETED,1,14,70
420,False,13.0,COMPLETED,1,14,73
421,False,26.0,COMPLETED,1,20,70
422,False,16.0,COMPLETED,1,14,70
423,False,25.0,COMPLETED,1,5,70
424,False,7.0,COMPLETED,1,5,73
425,False,52.0,COMPLETED,1,3,70
426,False,4.0,COMPLETED,1,3,73
427,False,1.0,COMPLETED,4,6,70
428,False,12.0,COMPLETED,1,6,73
429,False,50.0,COMPLETED,1,7,70
430,False,6.0,COMPLETED,1,7,73
431,False,35.0,COMPLETED,1,3,70
432,False,26.0,COMPLETED,1,3,70
433,False,36.0,COMPLETED,1,6,70
434,False,55.0,COMPLETED,1,8,70
435,True,9.0,COMPLETED,1,8,73
436,False,16.0,COMPLETED,1,5,70
437,False,48.0,COMPLETED,1,5,70
438,False,24.0,COMPLETED,1,6,70
439,False,15.0,COMPLETED,1,19,70
440,False,26.0,COMPLETED,1,18,70
441,False,9.0,COMPLETED,1,19,70
442,False,63.0,COMPLETED,1,14,70
443,False,32.0,COMPLETED,1,13,71
444,False,21.0,COMPLETED,1,20,70
445,False,33.0,COMPLETED,1,18,70
446,False,22.0,COMPLETED,1,13,71
447,False,40.0,COMPLETED,1,13,71
448,False,2.0,COMPLETED,3,2,74
449,False,1.0,COMPLETED,4,2,75
450,False,1.0,COMPLETED,4,2,76
451,False,18.0,COMPLETED,1,19,70
452,False,18.0,COMPLETED,1,18,70
453,False,5.0,COMPLETED,1,2,77
454,False,1.0,COMPLETED,4,2,78
455,False,1.0,COMPLETED,4,2,79
456,False,1.0,COMPLETED,4,2,80
457,False,4.0,COMPLETED,1,19,70
458,False,23.0,COMPLETED,1,18,70
459,False,9.0,COMPLETED,1,20,70
460,False,23.0,COMPLETED,1,19,70
461,False,14.0,COMPLETED,1,13,70
462,False,44.0,COMPLETED,1,14,70
463,False,15.0,COMPLETED,1,14,73
464,False,3.0,COMPLETED,2,9,81
465,False,4.0,COMPLETED,1,2,77
466,False,3.0,COMPLETED,2,2,78
467,False,1.0,COMPLETED,4,9,81
468,False,3.0,COMPLETED,2,2,77
469,False,5.0,COMPLETED,1,2,78
470,False,53.0,COMPLETED,1,14,70
471,False,2.0,COMPLETED,3,2,77
472,False,2.0,COMPLETED,3,2,78
473,False,6.0,COMPLETED,1,2,77
474,False,6.0,COMPLETED,1,2,78
475,False,17.0,COMPLETED,1,20,70
476,False,26.0,COMPLETED,1,13,70
477,False,1.0,COMPLETED,4,9,82
478,False,4.0,COMPLETED,1,9,83
479,False,1.0,COMPLETED,4,9,84
480,False,2.0,COMPLETED,3,9,85
481,False,2.0,COMPLETED,3,9,86
482,False,1.0,COMPLETED,4,2,87
483,False,1.0,COMPLETED,4,2,88
