ID,EDAD,ID_ATLETA,ID_RESULTADO,ID_PAIS_REPRESENTA
191606,22,89822,92183,154
191607,26,89822,92184,154
191608,27,89823,92183,154
191609,31,89823,92184,154
191610,38,89824,92183,154
191611,32,89825,92183,154
191612,36,89825,92184,154
191613,28,89826,92185,164
191614,28,89827,92185,164
191615,27,89828,92185,164
191616,30,89829,92185,164
191617,26,89830,92185,164
191618,27,89831,92185,164
191619,34,89832,92185,164
191620,29,89833,92185,164
191621,31,89834,92185,164
191622,28,89835,92185,164
191623,22,89836,92185,164
191624,27,89837,92185,164
191625,20,89838,3139,173
191626,28,89838,3166,173
191627,27,89839,3139,173
191628,31,89839,3114,173
191629,18,89840,3139,173
191630,22,89840,3114,173
191631,30,89840,92186,173
191632,25,89841,92187,178
191633,30,89842,92187,178
191634,29,89843,92187,178
191635,22,89844,92187,178
191636,30,89845,92187,178
191637,22,89846,92187,178
191638,25,89847,3309,30
191639,25,89848,2984,30
191640,24,89849,3499,30
191641,21,89850,3167,30
191642,26,89851,2789,30
191643,23,89852,2984,33
191644,23,89853,2789,33
191645,22,89854,2980,33
191646,27,89855,3070,34
191647,25,89856,92188,37
191648,21,89857,3070,37
191649,25,89857,92189,37
191650,27,89858,3341,37
191651,23,89859,3167,37
191652,26,89860,92190,37
191653,22,89861,3167,42
191654,23,89862,2550,42
191655,21,89863,2980,44
191656,21,89864,2550,44
191657,29,89865,3489,47
191658,25,89866,3491,47
191659,20,89867,2637,47
191660,26,89868,1252,54
191661,21,89869,3489,54
191662,25,89870,92191,54
191663,29,89871,92192,54
191664,33,89871,92193,54
191665,23,89872,3337,54
191666,27,89873,92194,54
191667,20,89874,92195,54
191668,24,89874,92196,54
191669,22,89875,1261,56
191670,23,89876,92197,56
191671,20,89877,3489,60
191672,23,89878,3167,60
191673,21,89879,2980,60
191674,25,89879,92198,60
191675,25,89880,92199,62
191676,29,89880,92200,62
191677,28,89881,3456,62
191678,22,89882,3309,62
191679,21,89883,92201,62
191680,25,89883,92202,62
191681,29,89883,92203,62
191682,33,89883,92204,62
191683,22,89884,2881,62
191684,20,89885,3167,62
191685,24,89885,92205,62
191686,28,89885,92206,62
191687,27,89886,2637,68
191688,20,89887,3026,68
191689,24,89888,2637,71
191690,21,89889,92207,72
191691,22,89890,3499,72
191692,26,89890,92208,72
191693,26,89891,50582,217
191694,22,89892,92209,72
191695,27,89893,92210,72
191696,28,89894,92211,72
191697,25,89895,3026,72
191698,21,89896,92212,72
191699,25,89896,92213,72
191700,29,89896,92214,72
191701,21,89897,2980,75
191702,25,89898,2984,77
191703,29,89899,92215,77
191704,21,89900,2963,80
191705,22,89901,92216,80
191706,21,89902,92217,82
191707,26,89903,3499,82
191708,21,89904,92216,82
191709,25,89904,92218,82
191710,23,89905,3456,82
191711,25,89906,92219,82
191712,21,89907,3026,82
191713,30,89908,1308,82
191714,23,89909,1252,83
191715,22,89910,3491,83
191716,20,89911,3499,83
191717,20,89912,2980,83
191718,24,89913,3002,84
191719,30,89914,2550,84
191720,26,89915,2980,87
191721,21,89916,3341,93
191722,25,89916,3431,93
191723,23,89918,3002,95
191724,27,89918,3654,95
