ID,EDAD,ID_ATLETA,ID_RESULTADO,ID_PAIS_REPRESENTA
604,35,199,18,9
605,34,200,104,9
606,34,200,205,9
607,36,201,177,9
608,36,201,334,9
609,25,202,177,9
610,25,202,256,9
611,29,202,223,9
612,33,202,219,9
613,33,202,18,9
614,24,203,200,9
615,38,204,62,9
616,38,204,256,9
617,23,205,333,9
618,19,206,242,10
619,19,206,335,10
620,23,206,336,10
621,27,206,331,10
622,27,206,241,10
623,31,206,249,10
624,31,206,337,10
625,35,206,252,10
626,35,206,338,10
627,24,207,339,10
628,24,207,340,10
629,20,208,253,10
630,20,208,341,10
631,23,209,253,10
632,23,209,341,10
633,21,210,253,10
634,33,211,307,10
635,33,211,308,10
636,33,211,309,10
637,30,212,153,10
638,30,212,340,10
639,22,213,132,10
640,22,213,241,10
641,26,213,342,10
642,26,213,337,10
643,30,213,245,10
644,30,213,338,10
645,34,213,343,10
646,38,213,344,10
647,27,214,238,10
648,27,214,335,10
649,21,215,219,10
650,37,216,227,10
651,37,216,199,10
652,21,217,62,10
653,27,218,321,10
654,27,218,199,10
655,35,219,345,10
656,35,219,63,10
657,27,220,63,10
658,18,221,346,10
659,26,221,7,10
660,30,221,347,10
661,29,222,273,10
662,29,222,41,10
663,45,222,348,10
664,18,223,346,10
665,22,223,349,10
666,26,223,7,10
667,26,224,65,10
668,20,225,174,10
669,20,225,349,10
670,24,225,88,10
671,24,226,323,10
672,24,226,350,10
673,24,226,351,10
674,24,226,352,10
675,24,226,353,10
676,24,226,354,10
677,24,226,355,10
678,24,226,356,10
679,24,226,357,10
680,24,227,273,10
681,24,227,261,10
682,28,227,75,10
683,28,227,2,10
684,21,228,85,10
685,21,228,358,10
686,24,229,1,10
687,24,229,358,10
688,36,229,321,10
689,36,229,308,10
690,36,229,199,10
691,21,230,288,10
692,21,230,289,10
693,33,230,198,10
694,33,230,23,10
695,33,230,199,10
696,20,231,273,10
697,20,231,261,10
698,24,231,1,10
699,24,231,289,10
700,28,232,359,11
701,32,232,360,11
702,18,233,152,12
703,22,233,243,12
704,22,233,149,12
705,26,233,153,12
706,26,233,340,12
707,30,233,361,12
708,20,234,118,12
709,20,234,362,12
710,24,234,359,12
711,20,235,103,12
712,24,235,105,12
713,23,236,131,12
714,23,236,362,12
